No,Framework,Type,Keywords,Description,When to Use,Structure Pattern,Example Application,MECE Test,Common Mistakes,Complexity
1,Issue Tree,Disaggregation,"issue, question, why, what, exploration, open-ended, diagnostic",Breaks a problem into sub-questions. Each branch asks 'what are the possible reasons/factors?' Explores all possible issues without presuming answers.,When you dont have a strong initial hypothesis; When exploring root causes; When the problem is new or unfamiliar; Early-stage problem structuring,Root Question > Sub-Question 1 (Why/What factor?) > Sub-Sub-Question 1a > ... ; Root Question > Sub-Question 2 > ...,Why is revenue declining? > Is it a volume problem? (Units sold dropping?) > Is it a price problem? (Price per unit falling?) > Is it a mix problem? (Shifting to lower-margin products?),Each sub-question must be independent (ME); Together they must cover all possible answers (CE); No branch should overlap with another; All branches together should explain the parent,Making branches that overlap; Stopping too early; Mixing levels of abstraction; Including solutions in the tree,Low
2,Hypothesis Tree,Disaggregation,"hypothesis, answer-first, testing, assertion, deductive, speed",Starts with a proposed answer and breaks it into conditions that must be true. Each branch states an assertion to be tested rather than a question to explore.,When you have domain expertise; When time is limited; When you need to move fast; When the problem domain is well-understood; When you need a Day 1 answer,Hypothesis (Our answer is X) > Must be true: Condition A > Evidence needed for A ; > Must be true: Condition B > Evidence needed for B,We should enter Market X > Market is large enough (>$1B TAM) > We can win share (>5% in 3 years) > Returns exceed hurdle rate (>15% IRR) > We have required capabilities,Each condition must be independent; Conditions together must be sufficient to prove/disprove the hypothesis; Failing any one condition should challenge the hypothesis,Stacking the deck (only favorable conditions); Missing critical conditions; Not being willing to kill the hypothesis; Conditions that are too easy to satisfy,Medium
3,Profitability Tree,Cleaving Frame,"profit, revenue, cost, margin, financial, business, P&L",Classic decomposition of business performance into revenue and cost components. Revenue = Price x Volume. Costs = Fixed + Variable.,Any business performance question; Profitability analysis; Margin improvement; Business case evaluation; P&L analysis,"Profit > Revenue (Price x Volume) > Revenue per unit > Number of units ; Profit > Costs > Fixed costs (rent, salaries, depreciation) > Variable costs (materials, commissions, shipping)","Company profit fell 20% > Revenue down 10% (volume flat but price -10%) > Costs up 12% (raw materials +25%, labor +5%, fixed costs flat) > Conclusion: pricing pressure + input cost inflation",Revenue and cost branches are mutually exclusive; Price and volume explain revenue fully; Fixed and variable explain costs fully,Mixing revenue and cost items; Ignoring cross-effects (price affects volume); Not going deep enough on the biggest driver; Treating all costs as one bucket,Low
4,Customer Decision Journey,Cleaving Frame,"customer, funnel, conversion, journey, awareness, purchase, retention, lifecycle",Breaks down customer-related problems along the customer lifecycle: Awareness > Consideration > Purchase > Experience > Loyalty/Advocacy.,Customer acquisition problems; Conversion optimization; Customer experience issues; Retention analysis; Marketing effectiveness,Problem > Awareness stage (Do they know about us?) > Consideration (Do they evaluate us?) > Purchase (Do they buy?) > Experience (Are they satisfied?) > Retention (Do they stay/refer?),"Why is customer acquisition cost rising? > Awareness (reach is declining, CPM up 30%) > Consideration (click-through rate flat) > Conversion (landing page conversion down 15%) > Focus: fix awareness costs and landing page",Each stage is distinct; A customer must pass through earlier stages to reach later ones; Together they cover the full lifecycle,"Treating the funnel as linear only; Ignoring loops (referrals, repeat purchase); Not measuring stage-to-stage conversion; Focusing on top of funnel when leak is at bottom",Low
5,Process Flow,Cleaving Frame,"process, steps, workflow, bottleneck, throughput, lean, operations, efficiency",Decomposes a problem along process steps. Identifies where in the process the breakdown occurs. Good for operational and efficiency problems.,Process improvement; Bottleneck identification; Quality problems; Cycle time reduction; Operational efficiency; Supply chain issues,"Problem > Step 1: Input/Sourcing > Step 2: Processing > Step 3: Quality Check > Step 4: Output/Delivery > For each: Time, Quality, Cost analysis",Why are delivery times increasing? > Sourcing (supplier lead times up 5 days) > Manufacturing (unchanged) > Quality check (failure rate up causing rework) > Shipping (carrier delays in region X),Each process step is distinct and sequential; Together they cover the entire process; Time/cost can be attributed to each step without overlap,Not mapping the actual process (mapping the ideal); Ignoring parallel processes; Missing feedback loops; Not measuring at each step; Focusing on steps that feel wrong rather than measuring all,Low
6,Market Segmentation,Cleaving Frame,"segment, customer-type, demographic, behavioral, needs-based, market, targeting","Breaks a market or customer base into distinct segments. Can segment by demographics, behavior, needs, geography, or value.",Market sizing; Customer strategy; Product-market fit; Pricing strategy; Go-to-market planning; Portfolio analysis,"Market > Segment A (by need/behavior) > Size, Growth, Our share ; Market > Segment B > ... ; Validate: segments are MECE and each is internally homogeneous","Which customer segments should we prioritize? > Enterprise ($10M+ revenue, 500 companies, 30% margins) > Mid-market ($1-10M, 5000 companies, 20% margins) > SMB (<$1M, 50000 companies, 10% margins)",Segments dont overlap; Together they cover the full market; Each segment has distinct characteristics and needs; Segmentation is actionable,Over-segmenting (too many small segments); Segmenting on demographics when behavior differs; Not validating segments with data; Creating segments you cant reach differently,Medium
7,Inductive Grouping,Synthesis,"bottom-up, grouping, pattern, theme, insight, inductive, clustering",Start with individual findings/data points and group them into themes. Used in synthesis phase to organize diverse evidence into a coherent structure. Also used as a bottom-up discovery tool to build trees from specific cases when general principles are unknown.,Synthesizing research findings; Organizing interview insights; Making sense of diverse data; Post-analysis integration; When deductive structure doesnt fit the evidence; Exploring new problem spaces; Building decision frameworks from cases,Observation 1 + Observation 2 > Theme A (with 'so what') ; Observation 3 + Observation 4 > Theme B (with 'so what') ; Theme A + Theme B > Governing insight,"After 20 customer interviews: Group findings into (1) Users want speed over features (2) Trust is the main barrier (3) Pricing is secondary > Governing insight: Focus on fast, trustworthy MVP",Each theme captures distinct insights; No observation is double-counted; Themes together tell the full story; Each theme has a clear 'so what',Groups that overlap; Missing outlier observations; Themes that are too broad; No 'so what' for each theme; Not testing alternative groupings,Medium
8,Systems Map,Decomposition,"system, feedback, loop, causal, interconnected, dynamic, emergent, complexity","Maps causal relationships and feedback loops in complex systems. Shows how variables influence each other, including reinforcing and balancing loops.",Wicked problems; Policy analysis; Ecosystem dynamics; Understanding unintended consequences; Complex organizational issues; Market dynamics,"Variable A --[+]--> Variable B --[+]--> Variable C --[-]--> Variable A (balancing loop) ; Identify: reinforcing loops (vicious/virtuous cycles), balancing loops (stabilizers), delays",Why does employee turnover keep increasing? > Low morale > More work per person > Burnout > More turnover > Even lower morale (reinforcing loop) > Intervention point: hire faster to break the loop,All major variables captured; Causal links are directional and signed (+/-); Feedback loops identified; No spurious correlations included as causal,Trying to include everything; Missing feedback loops; Confusing correlation with causation; Not identifying intervention points; Making the map too complex to be useful,High
9,Scenario Framework,Decomposition,"scenario, uncertainty, future, planning, contingency, branching, options",Structures thinking about uncertain futures by identifying key uncertainties and building 2x2 or multi-dimensional scenario grids.,High uncertainty situations; Strategic planning; Investment decisions under uncertainty; Policy planning; Risk management; When prediction is unreliable,Identify 2 most critical uncertainties > Create 2x2 matrix > Name each quadrant > Develop narrative for each scenario > Identify robust strategies across scenarios,Should we invest in Technology X? > Uncertainty 1: Market adoption speed (fast vs slow) > Uncertainty 2: Regulatory environment (favorable vs restrictive) > 4 scenarios with different strategies for each,Uncertainties are truly independent; Scenarios together cover the range of possible futures; Each scenario is plausible; Scenarios are distinct enough to require different strategies,Picking certainties instead of uncertainties; Too many dimensions (keep to 2-3); Scenarios that are too similar; Not developing strategies for each; Best case / worst case instead of structural uncertainties,Medium
10,Component/Factor Tree,Disaggregation,"component, factor, basic, starting, initial, brainstorm, elements",The simplest starting tree. Breaks a problem into its basic components or factors without requiring testable hypotheses yet.,At the very beginning of problem-solving; When you know little about the problem structure; Before building a hypothesis tree,Problem > Component 1 > Sub-component 1a ; Problem > Component 2 > Sub-component 2a,How to save salmon? > Watershed quality > Ocean conditions > Fishing > Government policy (Later refined into hypotheses),"All major factors are listed without overlap, capturing the whole problem space",Mixing factors with hypotheses; Treating it as a final tree instead of a starting point,Low
