Domain,Keywords,Description,Criteria,Default Weights,Measurement Guidance,Common Mistakes
Technology Selection,"technology, software, platform, tool, system, tech stack, SaaS, infrastructure, migration","Evaluating technology platforms, software tools, or technical infrastructure where functionality, integration, and long-term viability matter.","Functionality fit,Integration ease,Total cost of ownership,Vendor stability,Scalability,Security,Team capability","20,15,15,10,15,10,15",Functionality: 5=covers 95%+ requirements. Integration: 5=plug-and-play with current stack. Cost: 5=lowest TCO over 3 years. Vendor: 5=established leader with strong roadmap. Scalability: 5=handles 10x current load. Security: 5=exceeds compliance requirements. Team: 5=team has deep expertise.,Overweighting features while ignoring integration costs. Not including migration effort in TCO. Evaluating current needs without growth projection.
Hiring Decision,"hiring, candidate, recruitment, talent, people, team member, employee, role, interview, skills","Evaluating candidates for a position where skills, cultural fit, and growth potential must be balanced against availability and compensation.","Skills match,Culture fit,Growth potential,Compensation alignment,Availability,References,Team complement","20,15,15,10,10,10,20",Skills: 5=exceeds all technical requirements. Culture: 5=strong alignment with team values and work style. Growth: 5=clear trajectory to next-level role. Compensation: 5=within budget with room for growth. Availability: 5=can start immediately. References: 5=exceptional references from credible sources. Complement: 5=fills a clear gap in team capabilities.,Hiring for current skills only without considering adaptability. Culture fit becoming sameness rather than values alignment. Anchoring on impressive resume over actual capability.
Vendor / Partner Selection,"vendor, partner, supplier, outsource, contract, service provider, procurement, third-party","Evaluating vendors, suppliers, or partners where reliability, alignment, and long-term relationship quality are critical.","Quality of deliverables,Price competitiveness,Reliability track record,Strategic alignment,Flexibility,Reputation,Integration effort","20,15,15,15,10,10,15",Quality: 5=consistently exceeds standards. Price: 5=best value (not necessarily cheapest). Reliability: 5=100% on-time delivery track record. Alignment: 5=shared vision and complementary goals. Flexibility: 5=highly adaptable to changing requirements. Reputation: 5=industry leader with excellent references. Integration: 5=seamless integration with existing processes.,Choosing the lowest bidder without considering quality and reliability. Not checking references from similar-sized clients. Ignoring cultural compatibility in long-term partnerships.
Investment / Resource Allocation,"investment, resource allocation, funding, budget, capital, ROI, return, portfolio, financial decision","Deciding where to invest limited resources (capital, time, people) for maximum return adjusted for risk and strategic value.","Expected return,Risk level,Strategic alignment,Time to value,Resource requirement,Opportunity cost","20,15,20,15,15,15",Return: 5=highest projected ROI with strong evidence. Risk: 5=lowest risk with clear mitigation. Strategic: 5=directly advances top strategic priority. Time: 5=delivers value within 3 months. Resource: 5=minimal resource requirement relative to return. Opportunity: 5=lowest cost of forgone alternatives.,Spreading resources equally instead of prioritizing (peanut butter fallacy). Ignoring opportunity cost of capital. Underweighting time-to-value in fast-moving markets.
Market Entry / Expansion,"market entry, expansion, new market, geographic, international, growth, launch, go-to-market",Evaluating whether and how to enter or expand into new markets where external factors and competitive dynamics dominate.,"Market size and growth,Competition intensity,Barrier to entry,Capability fit,Regulatory risk,Timing,Profitability potential","20,15,10,15,10,15,15","Market: 5=large and growing rapidly. Competition: 5=fragmented market with clear differentiation opportunity. Barrier: 5=low barriers matching our strengths. Capability: 5=strong existing capability requiring minimal investment. Regulatory: 5=favorable, stable regulatory environment. Timing: 5=clear first-mover or fast-follower advantage. Profitability: 5=strong unit economics proven by comparable players.",Overweighting market size without analyzing competitive dynamics. Ignoring regulatory complexity until too late. Assuming domestic success translates directly to new markets.
Product Feature Prioritization,"feature prioritization, product, roadmap, backlog, user stories, sprint, requirements, product management",Prioritizing which product features to build when development capacity is limited and user needs compete with business goals.,"User impact,Revenue impact,Implementation effort,Strategic alignment,Urgency,Dependency","25,20,15,15,15,10","User: 5=addresses top pain point for majority of users. Revenue: 5=directly drives measurable revenue growth. Effort: 5=small effort, ship within one sprint. Strategic: 5=enables key strategic initiative. Urgency: 5=time-sensitive competitive or contractual requirement. Dependency: 5=unblocks multiple other features.",Building what the loudest customer asks for instead of highest-impact features. Not distinguishing urgency from importance. Ignoring technical debt as a feature choice.
Organizational Change,"organizational change, restructuring, transformation, culture, process change, reorganization, change management","Evaluating organizational changes (restructuring, process changes, cultural shifts) where people impact and change readiness are critical.","Impact on people,Implementation complexity,Reversibility,Cost,Timeline,Stakeholder support","20,15,15,15,15,20",People: 5=positive impact on engagement and capability. Complexity: 5=straightforward implementation with clear steps. Reversibility: 5=easily reversed if not working. Cost: 5=minimal direct and indirect costs. Timeline: 5=achievable within one quarter. Stakeholder: 5=strong support from all key stakeholders.,Underestimating people impact and change resistance. Not securing stakeholder buy-in before announcing. Ignoring the time and resources needed for change management.
Location / Facility,"location, facility, office, headquarters, warehouse, site selection, real estate, geographic, relocation","Selecting physical locations for offices, facilities, or operations where cost, access to talent, and strategic positioning are balanced.","Cost,Talent access,Infrastructure quality,Quality of life,Regulatory environment,Strategic proximity","20,15,15,15,15,20","Cost: 5=lowest total occupancy cost meeting requirements. Talent: 5=deep talent pool in required specialties. Infrastructure: 5=excellent connectivity, power, and facilities. Quality: 5=highly desirable location for employee recruitment and retention. Regulatory: 5=business-friendly environment with clear regulations. Proximity: 5=optimal location relative to customers, partners, and supply chain.",Choosing based on tax incentives alone without considering talent availability. Ignoring quality of life impact on recruitment. Not factoring in long-term cost trends.
Startup / AI Project Evaluation,"startup, project, new venture, AI project, vibe coding, AI-first, AI-native, side project, MVP, agentic, agent, automation, digital product, SaaS, app","Evaluating new startup ideas or AI-first digital product projects — including AI Vibe Coding products, agentic AI tools, AI-native marketing/operations/media solutions. Assesses founder-market fit, technical feasibility with AI, and market timing.","Founder-market fit,Market timing and demand,AI technical feasibility,Speed to MVP (vibe-codeable),Competitive moat,Revenue model clarity,Resource requirement vs available","20,15,15,15,10,15,10","Founder-market fit: 5=deep domain expertise + genuine passion + existing audience. Timing: 5=market actively seeking this solution now. AI feasibility: 5=AI can deliver 80%+ of core value with current models. Speed to MVP: 5=can vibe-code working prototype in under 2 weeks. Moat: 5=strong defensibility (data, network effects, brand). Revenue: 5=clear willingness to pay validated by pre-sales. Resource: 5=can bootstrap with existing team and budget.",Falling in love with the technology instead of the problem. Building for other developers instead of end users. Underestimating go-to-market effort. Assuming AI capability means product-market fit. Shiny Object Syndrome — jumping to next idea before validating current one.
Pricing Strategy,"pricing, freemium, subscription, usage-based, tiered, monetization, revenue model, willingness to pay, ARPU, LTV, CAC","Choosing a pricing model and price point for digital products or services — SaaS, AI tools, marketing services, content products. Balances value capture with market positioning.","Value-to-price ratio,Market positioning,CAC/LTV alignment,Simplicity for buyer,Scalability of model,Competitive benchmarking","20,15,20,15,15,15","Value-to-price: 5=customers perceive 10x+ value vs price. Positioning: 5=price reinforces desired brand position (premium, accessible, enterprise). CAC/LTV: 5=LTV/CAC ratio above 3:1. Simplicity: 5=buyer understands pricing in under 30 seconds. Scalability: 5=revenue grows faster than costs as usage increases. Competitive: 5=clearly differentiated from competitor pricing.",Pricing based on cost instead of value. Racing to bottom on price. Making pricing too complex. Not testing willingness to pay before launch. Ignoring that pricing IS positioning.
