No,Pattern,Category,Keywords,Description,When to Use,Structure,Example,Pitfalls,Audience
1,Pyramid Principle (Answer First),Recommendation,"pyramid, answer-first, top-down, recommendation, executive, minto, deductive","Lead with the answer/recommendation. Support with 3-5 key arguments. Each argument supported by evidence. Executive audiences want the answer first.","Executive presentations; Written memos; Any time the audience wants the bottom line; Recommendation-driven communication; Board presentations","RECOMMENDATION: [One sentence answer] > BECAUSE: Argument 1 (with evidence) > BECAUSE: Argument 2 (with evidence) > BECAUSE: Argument 3 (with evidence) > RISKS: Key risks and mitigations > NEXT STEPS: Specific actions","'We should enter Market X (expected 25% IRR)' > 'Market is attractive ($5B, 15% CAGR)' [data] > 'We can win (proprietary tech, 3 pilot customers)' [evidence] > 'Economics work (payback in 2.5 years)' [model] > Risks: regulatory, execution > Next: pilot in Q2","Burying the recommendation; Too many supporting arguments (max 5); Evidence that is actually opinion; Not addressing the strongest counterargument",Executive and senior leadership
2,Situation-Complication-Resolution (SCR),Narrative,"SCR, situation, complication, resolution, storytelling, context, setup-payoff","Set the context (situation everyone agrees on), introduce the tension (complication that creates urgency), then present your solution (resolution).","When building the case for change; When the audience doesnt know why this matters; Strategy presentations; Problem-framing discussions; Written reports","S: [Current state everyone agrees on] > C: [The problem/change/threat that disrupts the situation] > R: [Your proposed solution/recommendation] > Then detail with pyramid below the resolution","S: 'We are the market leader with 35% share' > C: 'A new competitor with 10x lower price is gaining share in our core segment, taking 5% share in 6 months' > R: 'We must launch a fighter brand within 90 days to protect our base'","Spending too long on Situation; Complication is not compelling enough; Resolution doesnt actually solve the complication; Audience disputes the Situation (get alignment first)",Mixed audiences including those unfamiliar with the topic
3,Grouping by Theme,Synthesis,"grouping, theme, inductive, bottom-up, insight, pattern, clustering","Organize findings into 3-5 distinct themes. Each theme has a 'so what' implication. Themes together tell a complete story. Used when synthesis is inductive.","After conducting many analyses; Interview synthesis; Research findings presentation; When patterns emerge from data; Post-workshop synthesis","Theme 1: [Label] > Key findings supporting this theme > So what: [Implication] ; Theme 2: [Label] > Key findings > So what ; Theme 3 > ... ; THEREFORE: [Governing insight from all themes]","After 30 customer interviews: Theme 1 - Speed matters most (15 mentions of 'too slow') > So what: reduce steps by 50% ; Theme 2 - Trust is the barrier (20 mentions of 'dont trust') > So what: add social proof ; Theme 3 - Price is secondary (only 3 price complaints) > So what: hold pricing","Groups that overlap; No 'so what' per theme; Too many themes (max 5); Themes dont build to a conclusion; Missing important outliers; Themes are descriptive not insightful",Technical and operational audiences
4,Action-Oriented Titles,Presentation,"slide-title, action-title, assertion, takeaway, presentation, memorable","Every slide/section title is a complete sentence that states the key takeaway. The audience should get the full story by reading only the titles.","All presentations; Written reports; Executive summaries; When you want the story to be scannable; When slides might be shared without a presenter","Instead of: 'Market Overview' > Use: 'The market is growing 15% annually driven by digital transformation' ; Instead of: 'Customer Analysis' > Use: 'Enterprise customers generate 80% of revenue but only 30% are satisfied'","Slide 1: 'We should invest $10M in Market X' ; Slide 2: 'The market is large and growing ($5B, 15% CAGR)' ; Slide 3: 'We have a right to win through proprietary technology' ; Slide 4: 'Expected returns of 25% IRR with 2.5-year payback'","Titles that are too long; Titles that are labels not assertions; Titles that dont flow as a narrative; Inconsistent level of specificity across slides",All audiences
5,One-Page Summary,Concise,"one-page, summary, brief, concise, overview, elevator-pitch, cheat-sheet","Distill the entire analysis and recommendation into a single page. Forces ruthless prioritization. Often the most-read document.","Executive distribution; Board pre-reads; Stakeholder alignment; When decision makers have limited time; As a companion to detailed decks","PROBLEM: [One sentence] > RECOMMENDATION: [One sentence with key metric] > KEY EVIDENCE: 3 bullet points > RISKS & MITIGATIONS: 2-3 items > NEXT STEPS: 2-3 specific actions with owners and dates > APPENDIX REFERENCE: Where to find details","PROBLEM: Customer acquisition cost has doubled in 12 months > RECOMMENDATION: Shift 40% of spend to content marketing (projected 35% CAC reduction) > EVIDENCE: (1) Content leads convert 3x better, (2) Top competitors derive 60% of leads from content, (3) Pilot showed $50 CAC vs $150 paid > RISKS: Takes 6 months to ramp > NEXT STEPS: Hire content lead by March, launch pilot by April","Trying to include everything; Too many bullet points per section; Not actually fitting on one page; Missing the call to action; Being vague to save space instead of being precise",Senior leadership and board members
6,Data Storytelling,Visualization,"data-viz, chart, storytelling, insight, visual, evidence, annotation","Use visualizations that clearly communicate the insight, not just display data. Every chart should have a clear message. Annotate the 'so what' directly on the chart.","Whenever presenting quantitative evidence; Dashboard design; Report writing; Presentations with data; When data tells a compelling story","Chart with clear title stating the insight > Annotated key data points > Clear axis labels > Highlighted comparison > One chart = one message > Source cited","Instead of 'Revenue by Quarter': 'Revenue grew 40% after product launch in Q3, then plateaued' with annotation arrow on Q3 showing the inflection point and annotation on Q4 plateau","Chart with no clear message; Multiple messages per chart; Misleading scales or axes; Using the wrong chart type for the data; No annotation of key insight; 3D charts that add no information",All audiences
7,Pre-Wire Stakeholders,Political,"pre-wire, alignment, stakeholder, coalition, buy-in, socialize, preview","Share key findings and recommendations with stakeholders individually before the formal presentation. Gather reactions, address concerns, build support. Never surprise decision makers.","Before any important decision meeting; When recommendation is controversial; When multiple stakeholders have different interests; Before board presentations; When buy-in is critical","Week before: Share draft with key stakeholders individually > Gather feedback and concerns > Adjust presentation to address concerns > Build coalition of supporters > At meeting: present with confidence knowing reaction > Follow up with dissenters","Before recommending a reorganization: Meet with each VP individually > Share the data and draft recommendation > Learn that VP of Sales has budget concerns > Add a transition plan with budget guarantees > At the meeting, VP of Sales publicly supports the plan","Surprising decision makers in public; Not addressing concerns you heard; Sharing incomplete analysis; Skipping lower-influence stakeholders who might sabotage; Treating pre-wiring as manipulation instead of collaboration",Decision makers and influencers
8,Appendix Strategy,Supporting,"appendix, backup, detail, deep-dive, supporting, reference, evidence-bank","Put detailed analysis, data tables, and methodology in an appendix. Main deck/document tells the story. Appendix provides credibility and answers detailed questions.","All presentations and reports; When detail supports credibility but distracts from narrative; When audience has mixed levels of interest in detail; When you expect detailed questions","Main document: Story with key evidence (20-30 slides/pages) > Appendix: Detailed data tables, Methodology notes, Additional analysis, Backup calculations, Raw data, Extended benchmarks","Main deck 15 slides telling the story > Appendix A: Market sizing methodology and data (10 pages) > Appendix B: Financial model assumptions (5 pages) > Appendix C: Customer interview summaries (20 pages) > Reference specific appendix items from main deck","Appendix is disorganized; Main deck references appendix slides that dont exist; Appendix contradicts main analysis; Too much detail in main deck (move it to appendix); No clear labeling/indexing of appendix","Technical and detail-oriented audiences who want to verify"
9,BLUF (Bottom Line Up Front),Military,"BLUF, bottom-line, executive, summary, concise, recommendation-first, direct","State the most important information first. Originally from military communication. Forces clarity of thought and respects the readers time.","Email communication; Status updates; Memos; When time is scarce; When the audience needs to know the answer immediately; When many recipients with different needs","BLUF: [One-two sentence bottom line] > Background: [Brief context only if needed] > Details: [Supporting information] > Action Required: [Next steps with owners and dates]","BLUF: We need $500K additional budget approved by Friday to avoid a 3-month project delay. Background: Vendor costs exceeded estimates due to scope change approved in October. Details: [specifics]. Action: CFO approval by Friday COB.","Being vague in the bottom line; Including too much background before the point; No clear action required; Burying bad news; Not being specific about what you need from the reader",All professional audiences
10,Day 1 Answer,Iterative,"day-1, hypothesis, initial-answer, iterate, early-output, rapid, best-guess","Develop your best answer on Day 1 based on available information and intuition. Then use the remaining time to test and refine through analysis. Prevents boiling the ocean.","At the start of any problem-solving effort; When you need to show progress quickly; When time is very limited; When you need to structure your analysis plan; Prevents analysis paralysis","Day 1: State your best hypothesis with confidence level > Design analyses to test/refine > Iterate daily/weekly: Update hypothesis based on new evidence > Final: Refined answer with evidence supporting or changing Day 1 hypothesis","Day 1: 'I believe we should enter Market X because it is large and growing, and we have relevant capabilities. Confidence: 40%.' > Week 1 analysis confirms market size. Confidence: 55% > Week 2 analysis shows capability gap. Pivot to Market Y. Confidence: 60% > Week 3 final analysis. Market Y recommendation with 80% confidence.","Treating Day 1 answer as final; Not being willing to change the answer; Not explicitly tracking confidence over time; Using as excuse to skip rigorous analysis; Overcommitting publicly to Day 1 answer",Problem-solving teams
