No,Mental Model,Category,Keywords,Description,Application to Problem Solving,When to Use,Example,Danger Zone
1,First Principles Thinking,Reasoning,"first-principles, fundamental, deconstruct, rebuild, axiom, assumption-free, physics","Break down a problem to its most fundamental truths and rebuild from there. Question every assumption. Separate facts from conventions.","Challenges conventional wisdom; Reveals hidden assumptions; Enables breakthrough solutions; Avoids reasoning by analogy alone; Forces clarity on what is actually true vs assumed","When conventional approaches arent working; When entering a new domain; When challenging incumbents; When fundamental innovation is needed; When existing solutions feel wrong","Instead of 'how do we make batteries cheaper?' (analogy to past improvement), ask 'what are the raw material costs of a battery at atomic level?' This reveals that materials cost far less than the battery, so the manufacturing process is the real cost driver.","Time-consuming; Can lead to reinventing the wheel; Not every problem needs first principles; Sometimes convention exists for good reason"
2,Inversion (Think Backward),Reasoning,"inversion, backward, avoid-failure, negative, charlie-munger, reverse, pre-mortem","Instead of asking how to succeed, ask how to fail and then avoid those things. Often easier to identify and prevent failure modes than to guarantee success.","Identifies risks and failure modes; Reveals non-obvious threats; Strengthens plans by defensive thinking; Complements forward planning; Particularly useful for risk management","Risk assessment; Strategy development; Quality assurance; When forward thinking is stuck; When you need to challenge an optimistic plan; Pre-mortem exercises","Instead of 'how do we build a great product?' ask 'how do we guarantee a terrible product?' Answers: ignore users, never test, ship with bugs, no documentation, complex UX. Then systematically prevent each.","Can become overly negative; Shouldnt replace positive vision; Not all failures are preventable; Can lead to excessive caution"
3,Second-Order Thinking,Reasoning,"second-order, consequences, ripple-effect, downstream, unintended, systems","Consider the consequences of consequences. Most people think about first-order effects (what happens immediately). Second-order effects (and then what?) often determine long-term outcomes.","Prevents unintended consequences; Improves long-term decision making; Reveals systemic effects; Challenges short-term optimization; Identifies feedback loops and cascading effects","Strategic decisions; Policy analysis; Organizational changes; Pricing decisions; Any decision with delayed effects; When quick fixes keep creating new problems","Cutting prices (first order: more sales). Second order: competitors match, margins fall industry-wide. Third order: weaker players exit, market consolidates, survivors have more pricing power. The short-term 'win' may be a long-term loss.","Hard to predict far out; Can lead to analysis paralysis; Not all second-order effects are predictable; Uncertainty compounds with each order"
4,Circle of Competence,Self-Awareness,"competence, expertise, know-limits, stay-in-lane, delegation, knowledge-boundary","Know what you know and what you dont. Operate primarily within your area of expertise. When you must go outside it, seek genuine expertise. Be honest about the boundary.","Prevents overconfidence in unfamiliar domains; Drives appropriate delegation; Focuses analysis where team has genuine expertise; Identifies when to bring in outside help","Team formation; Task assignment; Self-assessment; Before making decisions in unfamiliar areas; When assembling expertise for a complex problem; Hiring decisions","A technology team analyzing a market entry should recognize their circle includes technical feasibility but may exclude market dynamics, customer behavior, and regulatory landscape. They should seek partners or experts for those areas rather than guessing.","Can limit ambition; Circles should expand over time; Doesnt mean never learn new things; Can be used as excuse to avoid hard work"
5,Map is Not the Territory,Epistemology,"map-territory, model, reality, abstraction, simplification, representation, limitation","Every model is a simplification of reality. Useful models capture key dynamics but always lose detail. Know the limitations of your models and check them against reality.","Prevents over-reliance on models; Drives reality-checking; Maintains healthy skepticism; Encourages field work and direct observation alongside analysis; Prevents 'spreadsheet strategy'","When using financial models; When relying on frameworks; When analysis stays in the office; When models give surprisingly precise answers; When reality keeps surprising the model","A perfectly calibrated market model shows linear growth. But visiting actual customers reveals emotional purchasing patterns, competitive dynamics, and regulatory risks that the model completely misses. The model is useful but incomplete.","Using this as excuse to dismiss all models; Still need models to structure thinking; The point is to supplement not replace models; Some maps are much better than others"
6,Occams Razor,Reasoning,"occam, simplicity, parsimony, simple-explanation, fewest-assumptions, elegant","Among competing hypotheses that explain the data, prefer the simplest one (the one with fewest assumptions). Complexity should be justified by evidence.","Prevents over-engineering solutions; Favors simple explanations; Reduces analysis complexity; Guides hypothesis testing (test simple hypotheses first); Prevents conspiracy theories","When multiple explanations exist; When choosing between models; When designing solutions; When the analysis is getting overly complex; As a default until complexity is justified","Customer churn increased. Complex theory: competitors launched a sophisticated loyalty program targeting our best customers using AI. Simple theory: our latest update introduced a bug making checkout fail 10% of the time. Check the simple explanation first.","Simple doesnt always mean correct; Some problems are genuinely complex; Can lead to oversimplification; New evidence may require more complex explanation"
7,Bayesian Updating,Reasoning,"bayesian, update, prior, posterior, evidence, probability, belief-revision","Start with an initial estimate (prior probability) based on what you know. Update that estimate as new evidence arrives. Good reasoning means constantly updating beliefs proportional to evidence strength.","Structured approach to learning from data; Prevents anchoring on initial view; Quantifies uncertainty; Enables iterative problem solving; Supports Day 1 answer methodology; Prevents all-or-nothing thinking","Throughout analysis; When new data arrives; When testing hypotheses; When conflicting evidence emerges; When combining multiple data sources; During iterative problem solving","Prior: 60% chance competitor will lower prices (based on market intelligence). New evidence: competitor hires aggressive new sales VP and files for a patent on cost reduction. Updated posterior: 80% chance of price war. Adjust strategy accordingly.","Hard to set accurate priors; People under-update given evidence; Can be mathematically complex; Quality of prior matters greatly; Easy to abuse to justify any belief"
8,Margin of Safety,Risk Management,"safety-margin, buffer, cushion, conservative, downside-protection, redundancy","Build in a buffer for things going wrong. Dont plan for best case or even expected case alone. Leave room for error, the unknown, and bad luck.","Prevents catastrophic failure; Builds resilience into plans; Counteracts planning fallacy; Protects against overconfidence; Creates space for iteration; Practical risk management","Budget and timeline planning; Capacity planning; Goal setting; Investment decisions; Any situation where downside is much worse than missing upside","If your analysis says the project needs 6 months and $500K, plan for 9 months and $750K. The extra buffer isnt waste - its protection against the inevitable surprises that derail tightly planned projects.","Can make projects appear unfundable; Too much buffer breeds complacency; Must be justified not arbitrary; Different situations need different margins; Team may spend buffer unnecessarily"
9,Opportunity Cost,Economics,"opportunity-cost, alternative, trade-off, best-alternative, forgone, BATNA","The value of the best alternative you give up when making a choice. Every decision has an opportunity cost. Ignoring it leads to suboptimal allocation.","Forces consideration of alternatives; Prevents default bias; Improves resource allocation; Challenges sunk cost thinking; Makes invisible costs visible","Resource allocation; Time management; Project prioritization; Make vs buy decisions; Strategic focus; Any choice between alternatives","Spending 6 months improving an existing product (opportunity cost: not building the new product that could double revenue). The improvement project looked good in isolation but terrible when compared to the alternative.","Hard to quantify; Can lead to analysis paralysis; Some opportunity costs are speculative; Not every alternative is realistic; People tend to ignore opportunity costs naturally"
10,Regression to the Mean,Statistics,"regression-mean, reversion, average, outlier, normalization, statistical, random","Extreme performances tend to be followed by more average performances. This is a statistical phenomenon, not a causal one. Dont over-interpret random variation.","Prevents over-reacting to outlier data; Calibrates expectations; Distinguishes signal from noise; Prevents false attribution of cause to random events; Important for performance evaluation","After extreme results (good or bad); Performance evaluation; Trend analysis; When making changes based on outlier data; Sports, health, and business performance analysis","A sales team has their best quarter ever. The CEO praises their new strategy. Next quarter is average. The CEO blames execution. In reality, the exceptional quarter was partly lucky, and regression to the mean was inevitable regardless of strategy.","Not everything regresses; Can be used to dismiss genuine improvement; Some changes in performance are real; Important to separate signal from noise; Statistical understanding required"
